DATETIME,COUNTRY,EVENTS,ACTUAL,CONSENSUS,FORECAST,TIER
2025-01-03 02:00:00-05:00,TR,PPI YoYDEC,28.52%,,28.5%,3.0
2025-01-03 02:00:00-05:00,TR,Inflation Rate YoYDEC,44.38%,45.2%,45%,2.0
2025-01-03 02:00:00-05:00,TR,Inflation Rate MoMDEC,1.03%,1.61%,2.3%,2.0
2025-01-03 03:00:00-05:00,ES,Tourist Arrivals YoYNOV,10.3%,,10.0%,3.0
2025-01-03 03:00:00-05:00,ES,Unemployment ChangeDEC,-25.3K,-46.5K,-30K,2.0
2025-01-03 03:55:00-05:00,DE,Unemployment RateDEC,6.1%,6.2%,6.10%,2.0
2025-01-03 03:55:00-05:00,DE,Unemployment ChangeDEC,10K,15K,10.0K,1.0
2025-01-03 03:55:00-05:00,DE,Unemployed PersonsDEC,2.869M,,2.87M,2.0
2025-01-03 04:00:00-05:00,WL,FAO Food Price IndexDEC,127,,,3.0
2025-01-03 04:30:00-05:00,GB,Mortgage ApprovalsNOV,65.72K,68.5K,68.7K,2.0
2025-01-03 04:30:00-05:00,GB,Net Lending to Individuals MoMNOV,£3.4B,£4.4B,£4.6B,3.0
2025-01-03 04:30:00-05:00,GB,BoE Consumer CreditNOV,£0.878B,£1.20B,£1.1B,2.0
2025-01-03 04:30:00-05:00,GB,M4 Money Supply MoMNOV,0%,0.1%,-0.1%,3.0
2025-01-03 04:30:00-05:00,GB,Mortgage LendingNOV,£2.47B,£3.2B,£3.5B,2.0
2025-01-03 06:00:00-05:00,TR,MPC Meeting Summary,,,,2.0
2025-01-03 06:00:00-05:00,MX,Foreign Exchange ReservesNOV,$232.2B,,$233.0B,3.0
2025-01-03 06:30:00-05:00,TR,Foreign Exchange ReservesDEC/27,$90.74B,,,3.0
2025-01-03 06:30:00-05:00,IN,Foreign Exchange ReservesDEC/27,$640.28B,,,3.0
2025-01-03 06:30:00-05:00,IN,Deposit Growth YoYDEC/20,11.5%,,,3.0
2025-01-03 06:30:00-05:00,IN,Bank Loan Growth YoYDEC/20,11.5%,,,3.0
2025-01-03 07:00:00-05:00,MX,Unemployment RateNOV,2.6%,2.7%,2.6%,2.0
2025-01-03 07:00:00-05:00,MX,Business ConfidenceDEC,51.2,,52,2.0
2025-01-03 10:00:00-05:00,US,ISM Manufacturing PMIDEC,49.3,48.4,48.5,1.0
2025-01-03 10:00:00-05:00,US,ISM Manufacturing EmploymentDEC,45.3,48,48.3,2.0
2025-01-03 10:00:00-05:00,US,ISM Manufacturing PricesDEC,52.5,51.7,50.4,3.0
2025-01-03 10:00:00-05:00,US,ISM Manufacturing New OrdersDEC,52.5,,50.5,3.0
2025-01-03 10:30:00-05:00,US,EIA Natural Gas Stocks ChangeDEC/27,-116Bcf,-127Bcf,,3.0
2025-01-03 11:00:00-05:00,EA,ECB Lane Speech,,,,3.0
2025-01-03 11:00:00-05:00,US,Fed Barkin Speech,,,,2.0
2025-01-03 13:00:00-05:00,US,Baker Hughes Total Rigs CountJAN/03,588,,,3.0
2025-01-03 13:00:00-05:00,US,Baker Hughes Oil Rig CountJAN/03,482,,,3.0
2025-01-04 17:30:00-05:00,US,Fed Kugler Speech,,,,2.0
2025-01-04 17:30:00-05:00,US,Fed Daly Speech,,,,2.0
2025-01-04 23:15:00-05:00,SA,Riyad Bank PMIDEC,58.4,,58.5,3.0
2025-01-05 13:15:00-05:00,US,Fed Daly Speech,,,,2.0
2025-01-05 17:00:00-05:00,AU,S&P Global Australia Composite PMI FinalDEC,50.2,,50.4,3.0
2025-01-05 17:00:00-05:00,KR,Foreign Exchange ReservesDEC,$415.6B,,$ 415.0B,3.0
2025-01-05 17:00:00-05:00,AU,S&P Global Australia Services PMI FinalDEC,50.8,,51.1,2.0
2025-01-05 19:30:00-05:00,SG,S&P Global PMIDEC,51.5,,53,3.0
2025-01-05 19:30:00-05:00,JP,Jibun Bank Composite PMI FinalDEC,50.5,,50.8,3.0
2025-01-05 19:30:00-05:00,JP,Jibun Bank Services PMI FinalDEC,50.9,51.4,51.4,2.0
2025-01-05 20:45:00-05:00,CN,Caixin Services PMIDEC,52.2,51.7,51.1,2.0
2025-01-05 20:45:00-05:00,CN,Caixin Composite PMIDEC,51.4,,51.5,3.0
2025-01-05 23:15:00-05:00,TR,Imports PrelDEC,$32.29B,,$ 28.8B,3.0
2025-01-05 23:15:00-05:00,TR,Exports PrelDEC,$23.46B,,$ 23.7B,3.0
2025-01-05 23:15:00-05:00,TR,Balance of Trade PrelDEC,$-8.82B,,$ -5.1B,2.0
2025-01-06 00:00:00-05:00,IN,HSBC Services PMI FinalDEC,59.3,60.5,58,3.0
2025-01-06 00:00:00-05:00,KR,2-Year KTB Auction,2.670%,,,3.0
2025-01-06 00:00:00-05:00,IN,HSBC Composite PMI FinalDEC,59.2,,58.2,3.0
2025-01-06 02:15:00-05:00,ZA,S&P Global PMIDEC,49.9,,51,3.0
2025-01-06 03:15:00-05:00,ES,HCOB Services PMIDEC,57.3,54.1,53.5,2.0
2025-01-06 03:15:00-05:00,ES,HCOB Composite PMIDEC,56.8,,53.4,3.0
2025-01-06 03:45:00-05:00,IT,HCOB Services PMIDEC,50.7,50.3,49.5,2.0
2025-01-06 03:45:00-05:00,IT,HCOB Composite PMIDEC,49.7,,48,2.0
2025-01-06 03:50:00-05:00,FR,HCOB Composite PMI FinalDEC,47.5,46.7,46.7,3.0
2025-01-06 03:50:00-05:00,FR,HCOB Services PMI FinalDEC,49.3,48.2,48.2,2.0
2025-01-06 03:55:00-05:00,DE,HCOB Services PMI FinalDEC,51.2,51.0,51.0,2.0
2025-01-06 03:55:00-05:00,DE,HCOB Composite PMI FinalDEC,48,47.8,47.8,2.0
2025-01-06 04:00:00-05:00,EA,HCOB Services PMI FinalDEC,51.6,51.4,51.4,2.0
2025-01-06 04:00:00-05:00,EA,HCOB Composite PMI FinalDEC,49.6,49.5,49.5,2.0
2025-01-06 04:00:00-05:00,GB,New Car Sales YoYDEC,-0.2%,,-0.5%,3.0
2025-01-06 04:30:00-05:00,GB,S&P Global Composite PMI FinalDEC,50.4,50.5,50.5,3.0
2025-01-06 04:30:00-05:00,GB,S&P Global Services PMI FinalDEC,51.1,51.4,51.4,2.0
2025-01-06 06:40:00-05:00,DE,New Car Registrations YoYDEC,-7.1%,,-1.0%,3.0
2025-01-06 07:00:00-05:00,MX,Consumer ConfidenceDEC,47.1,,47.5,2.0
2025-01-06 08:00:00-05:00,DE,Harmonised Inflation Rate YoY PrelDEC,2.8%,2.6%,2.5%,3.0
2025-01-06 08:00:00-05:00,DE,Inflation Rate YoY PrelDEC,2.6%,2.4%,2.5%,1.0
2025-01-06 08:00:00-05:00,BR,S&P Global Composite PMIDEC,51.5,,53,3.0
2025-01-06 08:00:00-05:00,DE,Inflation Rate MoM PrelDEC,0.4%,0.3%,0.3%,2.0
2025-01-06 08:00:00-05:00,DE,Harmonised Inflation Rate MoM PrelDEC,0.7%,0.5%,0.3%,3.0
2025-01-06 08:00:00-05:00,BR,S&P Global Services PMIDEC,51.6,,53.2,2.0
2025-01-06 09:00:00-05:00,FR,6-Month BTF Auction,2.592%,,,3.0
2025-01-06 09:00:00-05:00,FR,3-Month BTF Auction,2.704%,,,3.0
2025-01-06 09:00:00-05:00,FR,12-Month BTF Auction,2.435%,,,3.0
2025-01-06 09:15:00-05:00,US,Fed Cook Speech,,,,2.0
2025-01-06 09:30:00-05:00,CA,S&P Global Services PMIDEC,48.2,,51.5,3.0
2025-01-06 09:30:00-05:00,CA,S&P Global Composite PMIDEC,49.0,,51.8,3.0
2025-01-06 09:45:00-05:00,US,S&P Global Services PMI FinalDEC,56.8,58.5,58.5,2.0
2025-01-06 09:45:00-05:00,US,S&P Global Composite PMI FinalDEC,55.4,56.6,53,2.0
2025-01-06 10:00:00-05:00,US,Factory Orders ex TransportationNOV,0.2%,,0.2%,3.0
2025-01-06 10:00:00-05:00,US,Factory Orders MoMNOV,-0.4%,-0.3%,0.3%,2.0
2025-01-06 10:30:00-05:00,US,NY Fed Treasury Purchases 6 to 10 yrs,,$25 million,,3.0
2025-01-06 11:30:00-05:00,US,6-Month Bill Auction,4.110%,,,3.0
2025-01-06 11:30:00-05:00,US,3-Month Bill Auction,4.205%,,,3.0
2025-01-06 13:00:00-05:00,BR,Balance of TradeDEC,$4.8B,$3.9B,$ 6.7B,2.0
2025-01-06 13:00:00-05:00,US,3-Year Note Auction,4.332%,,,3.0
2025-01-06 19:01:00-05:00,GB,BRC Retail Sales Monitor YoYDEC,3.1%,-0.2%,-2.8%,2.0
2025-01-06 19:30:00-05:00,AU,Private House Approvals MoM PrelNOV,-1.7%,,-0.6%,3.0
2025-01-06 19:30:00-05:00,AU,Building Permits MoM PrelNOV,-3.6%,-1%,-1.2%,2.0
2025-01-06 22:35:00-05:00,JP,3-Month Bill Auction,0.2178%,,,3.0
2025-01-06 22:35:00-05:00,BR,BCB Focus Market Readout,,,,3.0
2025-01-06 22:35:00-05:00,JP,10-Year JGB Auction,1.140%,,,3.0
2025-01-07 00:00:00-05:00,SG,MAS 4-Week Bill Auction,3.24%,,,3.0
2025-01-07 00:00:00-05:00,KR,30-Year KTB Auction,2.705%,,,3.0
2025-01-07 00:00:00-05:00,SG,MAS 12-Week Bill Auction,3.19%,,,3.0
2025-01-07 02:00:00-05:00,GB,Halifax House Price Index YoYDEC,3.3%,,4.6%,2.0
2025-01-07 02:00:00-05:00,GB,Halifax House Price Index MoMDEC,-0.2%,0.8%,0.8%,2.0
2025-01-07 02:45:00-05:00,FR,Harmonised Inflation Rate YoY PrelDEC,1.8%,1.9%,1.8%,3.0
2025-01-07 02:45:00-05:00,FR,Harmonised Inflation Rate MoM PrelDEC,0.2%,0.4%,0.4%,3.0
2025-01-07 02:45:00-05:00,FR,Inflation Rate YoY PrelDEC,1.3%,1.5%,1.6%,1.0
2025-01-07 02:45:00-05:00,FR,Inflation Rate MoM PrelDEC,0.2%,0.3%,0.3%,2.0
2025-01-07 03:00:00-05:00,CN,Foreign Exchange ReservesDEC,$3.202T,$3.25T,$3.25T,3.0
2025-01-07 03:00:00-05:00,BR,IPC-Fipe Inflation MoMDEC,0.34%,,0.8%,3.0
2025-01-07 03:30:00-05:00,EA,HCOB Construction PMIDEC,42.9,,45,3.0
2025-01-07 03:30:00-05:00,IT,HCOB Construction PMIDEC,51.2,,49,3.0
2025-01-07 03:30:00-05:00,FR,HCOB Construction PMIDEC,42.6,,44,3.0
2025-01-07 03:30:00-05:00,DE,HCOB Construction PMIDEC,37.8,,37.8,2.0
2025-01-07 04:00:00-05:00,EA,Consumer Inflation ExpectationsNOV,2.6%,,,3.0
2025-01-07 04:00:00-05:00,SG,Foreign Exchange ReservesDEC,S$506.7B,,S$502.0B,3.0
2025-01-07 04:00:00-05:00,IT,Unemployment RateNOV,5.7%,6%,5.8%,1.0
2025-01-07 04:30:00-05:00,GB,S&P Global Construction PMIDEC,53.3,54.4,54.8,2.0
2025-01-07 04:40:00-05:00,ES,6-Month Letras Auction,2.535%,,,3.0
2025-01-07 04:40:00-05:00,ES,12-Month Letras Auction,2.367%,,,3.0
2025-01-07 05:00:00-05:00,IT,Harmonised Inflation Rate MoM PrelDEC,0.1%,0.3%,0.3%,3.0
2025-01-07 05:00:00-05:00,EA,Inflation Rate YoY FlashDEC,2.4%,2.4%,2.4%,1.0
2025-01-07 05:00:00-05:00,EA,Unemployment RateNOV,6.3%,6.3%,6.4%,1.0
2025-01-07 05:00:00-05:00,IT,Harmonised Inflation Rate YoY PrelDEC,1.4%,1.6%,1.7%,3.0
2025-01-07 05:00:00-05:00,IT,Inflation Rate YoY PrelDEC,1.3%,1.5%,1.4%,1.0
2025-01-07 05:00:00-05:00,IT,Inflation Rate MoM PrelDEC,0.1%,0.3%,0.3%,2.0
2025-01-07 05:00:00-05:00,EA,Inflation Rate MoM FlashDEC,0.4%,,0.2%,2.0
2025-01-07 05:00:00-05:00,EA,CPI FlashDEC,127.08,126.62,127,3.0
2025-01-07 05:00:00-05:00,EA,Core Inflation Rate YoY FlashDEC,2.7%,2.7%,2.7%,2.0
2025-01-07 05:00:00-05:00,GB,30-Year Treasury Gilt Auction,5.198%,,,3.0
2025-01-07 05:30:00-05:00,DE,2-Year Schatz Auction,2.18%,,,3.0
2025-01-07 06:00:00-05:00,US,LMI Logistics Managers IndexDEC,57.3,,,3.0
2025-01-07 06:40:00-05:00,IN,Fiscal Year GDP Growth Prel2024-25,6.4%,,6.5%,2.0
2025-01-07 07:00:00-05:00,BR,PPI YoYNOV,7.59%,,5.5%,3.0
2025-01-07 07:00:00-05:00,BR,PPI MoMNOV,1.23%,,0.7%,3.0
2025-01-07 08:00:00-05:00,US,Fed Barkin Speech,,,,2.0
2025-01-07 08:30:00-05:00,US,Balance of TradeNOV,$-78.2B,$-78B,$-70B,2.0
2025-01-07 08:30:00-05:00,CA,ExportsNOV,C$66.11B,,C$64.0B,3.0
2025-01-07 08:30:00-05:00,CA,ImportsNOV,C$66.43B,,C$65.5B,3.0
2025-01-07 08:30:00-05:00,US,ExportsNOV,$273.4B,,$264B,2.0
2025-01-07 08:30:00-05:00,CA,Balance of TradeNOV,C$-0.32B,C$-0.9B,C$-1.5B,1.0
2025-01-07 08:30:00-05:00,US,ImportsNOV,$351.6B,,$334B,2.0
2025-01-07 08:55:00-05:00,US,Redbook YoYJAN/04,6.8%,,,3.0
2025-01-07 09:30:00-05:00,BR,Federal Tax RevenuesNOV,BRL 209.2B,,,3.0
2025-01-07 10:00:00-05:00,US,ISM Services New OrdersDEC,54.2,54.2,54.1,3.0
2025-01-07 10:00:00-05:00,US,ISM Services EmploymentDEC,51.4,51.4,52,3.0
2025-01-07 10:00:00-05:00,US,ISM Services PricesDEC,64.4,57.5,58.4,3.0
2025-01-07 10:00:00-05:00,US,ISM Services Business ActivityDEC,58.2,,54.1,3.0
2025-01-07 10:00:00-05:00,US,JOLTs Job QuitsNOV,3.065M,,3.31M,3.0
2025-01-07 10:00:00-05:00,US,ISM Services PMIDEC,54.1,53.3,54,1.0
2025-01-07 10:00:00-05:00,US,JOLTs Job OpeningsNOV,8.098M,7.70M,7.69M,1.0
2025-01-07 10:00:00-05:00,CA,Ivey PMI s.aDEC,54.7,55.4,54,1.0
2025-01-07 10:30:00-05:00,WL,Global Supply Chain Pressure IndexDEC,-0.22,,,3.0
2025-01-07 11:30:00-05:00,US,42-Day Bill Auction,4.245%,,,3.0
2025-01-07 13:00:00-05:00,US,10-Year Note Auction,4.68%,,,3.0
2025-01-07 16:30:00-05:00,US,API Crude Oil Stock ChangeJAN/03,-4.022M,-0.25M,,2.0
2025-01-07 18:00:00-05:00,KR,Current AccountNOV,$9.3B,,$4.5B,3.0
2025-01-07 19:30:00-05:00,AU,Monthly CPI IndicatorNOV,2.3%,2.2%,2.2%,2.0
2025-01-07 22:00:00-05:00,ID,Foreign Exchange ReservesDEC,$155.7B,,$ 152.0B,3.0
2025-01-08 00:00:00-05:00,JP,Consumer ConfidenceDEC,36.2,36.6,36.4,1.0
2025-01-08 01:00:00-05:00,ZA,Foreign Exchange ReservesDEC,$65.46B,,$ 64.0B,3.0
2025-01-08 02:00:00-05:00,DE,Retail Sales MoMNOV,-0.6%,0.5%,0.7%,2.0
2025-01-08 02:00:00-05:00,DE,Factory Orders MoMNOV,-5.4%,0%,0.3%,2.0
2025-01-08 02:00:00-05:00,DE,Retail Sales YoYNOV,2.5%,1.9%,1.7%,2.0
2025-01-08 02:45:00-05:00,FR,ImportsNOV,€57.186B,,,3.0
2025-01-08 02:45:00-05:00,FR,Consumer ConfidenceDEC,89,89,89,2.0
2025-01-08 02:45:00-05:00,FR,ExportsNOV,€50.101B,,,3.0
2025-01-08 02:45:00-05:00,FR,Current AccountNOV,€-1.7B,,€-2.0B,3.0
2025-01-08 02:45:00-05:00,FR,Balance of TradeNOV,€-7.1B,€-7B,€-6.5B,2.0
2025-01-08 04:00:00-05:00,ZA,ABSA Manufacturing PMIDEC,46.2,,51.8,3.0
2025-01-08 04:00:00-05:00,FR,Foreign Exchange ReservesDEC,€275.078B,,,3.0
2025-01-08 05:00:00-05:00,EA,Consumer Inflation ExpectationsDEC,21.0,,17.8,3.0
2025-01-08 05:00:00-05:00,EA,Services SentimentDEC,5.9,5.8,6,3.0
2025-01-08 05:00:00-05:00,EA,Consumer Confidence FinalDEC,-14.5,-14.5,-14.5,2.0
2025-01-08 05:00:00-05:00,EA,PPI YoYNOV,-1.2%,-1.3%,-2.4%,3.0
2025-01-08 05:00:00-05:00,EA,Economic SentimentDEC,93.7,95.6,95.5,2.0
2025-01-08 05:00:00-05:00,EA,Selling Price ExpectationsDEC,7.6,,3.5,3.0
2025-01-08 05:00:00-05:00,GB,BBA Mortgage RateDEC,7.50%,,7.6%,3.0
2025-01-08 05:00:00-05:00,EA,PPI MoMNOV,1.6%,1.5%,1.3%,3.0
2025-01-08 05:00:00-05:00,EA,Industrial SentimentDEC,-14.1,-11.7,-11.3,3.0
2025-01-08 05:00:00-05:00,GB,5-Year Treasury Gilt Auction,4.490%,,,3.0
2025-01-08 05:30:00-05:00,DE,10-Year Bund Auction,2.51%,,,3.0
2025-01-08 05:50:00-05:00,ZA,Total New Vehicle SalesDEC,41.27K,,45.0K,3.0
2025-01-08 06:10:00-05:00,EU,12-Month Bill Auction,2.378%,,,3.0
2025-01-08 06:10:00-05:00,EU,6-Month Bill Auction,2.541%,,,3.0
2025-01-08 06:10:00-05:00,EU,3-Month Bill Auction,2.639%,,,3.0
2025-01-08 07:00:00-05:00,BR,Industrial Production YoYNOV,1.7%,1.8%,2.3%,3.0
2025-01-08 07:00:00-05:00,US,MBA Mortgage Refinance IndexJAN/03,401.1,,,3.0
2025-01-08 07:00:00-05:00,US,MBA Mortgage ApplicationsJAN/03,-3.7%,,,3.0
2025-01-08 07:00:00-05:00,US,MBA Mortgage Market IndexJAN/03,168.4,,,3.0
2025-01-08 07:00:00-05:00,US,MBA Purchase IndexJAN/03,127.7,,,3.0
2025-01-08 07:00:00-05:00,US,MBA 30-Year Mortgage RateJAN/03,6.99%,,,2.0
2025-01-08 07:00:00-05:00,BR,Industrial Production MoMNOV,-0.6%,-0.5%,0.1%,2.0
2025-01-08 08:15:00-05:00,US,ADP Employment ChangeDEC,122K,140K,140K,2.0
2025-01-08 08:30:00-05:00,US,Jobless Claims 4-week AverageJAN/04,213K,,224K,3.0
2025-01-08 08:30:00-05:00,US,Total Vehicle SalesDEC,16.8M,16.5M,16.3M,3.0
2025-01-08 08:30:00-05:00,US,Initial Jobless ClaimsJAN/04,201K,218K,213K,2.0
2025-01-08 08:30:00-05:00,US,Continuing Jobless ClaimsDEC/28,1867K,1870K,1848K,3.0
2025-01-08 08:30:00-05:00,US,Fed Waller Speech,,,,2.0
2025-01-08 09:00:00-05:00,US,Used Car Prices MoMDEC,-0.3%,,,3.0
2025-01-08 09:00:00-05:00,US,Used Car Prices YoYDEC,0.4%,,,3.0
2025-01-08 09:30:00-05:00,TR,Treasury Cash BalanceDEC,TRY-323.9B,,,3.0
2025-01-08 10:00:00-05:00,US,Wholesale Inventories MoMNOV,-0.2%,-0.2%,-0.2%,3.0
2025-01-08 10:30:00-05:00,US,EIA Gasoline Production ChangeJAN/03,-0.081M,,,3.0
2025-01-08 10:30:00-05:00,US,EIA Refinery Crude Runs ChangeJAN/03,0.045M,,,3.0
2025-01-08 10:30:00-05:00,US,EIA Distillate Fuel Production ChangeJAN/03,-0.167M,,,3.0
2025-01-08 10:30:00-05:00,US,EIA Distillate Stocks ChangeJAN/03,6.071M,1M,,3.0
2025-01-08 10:30:00-05:00,US,EIA Cushing Crude Oil Stocks ChangeJAN/03,-2.502M,,,3.0
2025-01-08 10:30:00-05:00,US,EIA Crude Oil Stocks ChangeJAN/03,-0.959M,-0.6M,,2.0
2025-01-08 10:30:00-05:00,US,EIA Gasoline Stocks ChangeJAN/03,6.33M,1.5M,,2.0
2025-01-08 10:30:00-05:00,US,EIA Crude Oil Imports ChangeJAN/03,0.278M,,,3.0
2025-01-08 10:30:00-05:00,US,EIA Heating Oil Stocks ChangeJAN/03,-0.632M,,,3.0
2025-01-08 11:30:00-05:00,US,17-Week Bill Auction,4.190%,,,3.0
2025-01-08 12:00:00-05:00,US,EIA Natural Gas Stocks ChangeJAN/03,-40Bcf,-51Bcf,,3.0
2025-01-08 12:00:00-05:00,CA,2-Year Bond Auction,2.947%,,,3.0
2025-01-08 13:00:00-05:00,US,30-Year Bond Auction,4.913%,,,3.0
2025-01-08 14:00:00-05:00,AR,Industrial Production YoYNOV,-1.7%,,0.2%,3.0
2025-01-08 14:00:00-05:00,US,FOMC Minutes,,,,1.0
2025-01-08 15:00:00-05:00,US,Consumer Credit ChangeNOV,$-7.49B,$10.5B,$14.0B,3.0
2025-01-08 18:30:00-05:00,JP,Overtime Pay YoYNOV,1.6%,,1.6%,3.0
2025-01-08 18:30:00-05:00,JP,Average Cash Earnings YoYNOV,3%,2.7%,2.5%,3.0
2025-01-08 18:50:00-05:00,JP,Stock Investment by ForeignersJAN/04,¥-74B,,,3.0
2025-01-08 18:50:00-05:00,JP,Stock Investment by ForeignersDEC/28,¥562.7B,,,3.0
2025-01-08 18:50:00-05:00,JP,Foreign Bond InvestmentDEC/28,¥-228.6B,,,3.0
2025-01-08 18:50:00-05:00,JP,Foreign Bond InvestmentJAN/04,¥-331.8B,,,3.0
